제목,본문,댓글
윤석열 친이 노선 타면서 디시에서 개빨림,디시  일베가 윤석열만이 우리나라유일의 희망이라면 존나 빨아줌박그네 빨아주는건 틀딱 유튜브밖에 없음디시  일베는 완벽히 친이 애들이다,역시 이명박 까야 한다는 건 맞는 판단이었어디시  일베  윤석렬 이라니 이야 너무 무섭다이미 탄거 아니냐이미 탄거 맞음이미 탔으면 친이라인 버스도 곧 타겠네 이미 탄거 아니냐이미 탄거 맞음이미 탔으면 친이라인 버스도 곧 타겠네 역시 이명박 까야 한다는 건 맞는 판단이었어디시  일베  윤석렬 이라니 이야 너무 무섭다그럼 절대로 잘될일 없겠네 안심해도 되는거잖아아냐 잘되기를 빌어줘야지그래야 더 개판날테니까존나 소신있고 트렌드에 민감하고 쎈척하지만   저기 디씨는 진짜 선동잘당하고  집단분위기에 엄청약하고 잘따라가더라 결국 저기서 또 쭈쭈쭈하는대로 가구만 쿨찐들의 모임임누구보다 디씨부심을 가지고 있고디씨  일베에서   빠는 새끼들 특  딱 이 수준의 지능이런 수준의 지능이니까 베이징대학교 그 연설중국이 더 많이 다양성을 포용하고 개방과 관용의 중국정신을 펼쳐갈 때 실현가능한 꿈이라고 생각함  중국몽 함께하겠다 라는 뜻으로 알고 있지 들원래 벌레들 이명박이 경제대통령이고 외교 짱짱맨이고 이런줄 앎국정원이 노통 비하하면서 엠비 신성화 작업 잘 쳐놓은거지
어제자 그알 보고 느낀 점,코로나가  염병이긴 염병이구나코로나로 온 동네 노인정 다 폐쇄 되니까 노친네들 유튜브 붙잡고 이상한 뻘소리만 골라보고 앉았음그게 이번 한강 사건에서 여실히 드러남,저기 시위현장에 대도 엄청 많았음대도 떡같아 노인만 그런게 아님 뿅뿅 짓에 세대가 어딨어벌레새끼가 가장 많은 나이대가 어디더라답나오지대도 떡같아 노인만 그런게 아님 뿅뿅 짓에 세대가 어딨어저기 시위현장에 대도 엄청 많았음일단 그알부터 보고 와뭔 개소리야 그알에서도 대 대 가릴 것 없이시위 나와서 타살이라고 지랄하더만 벌레새끼가 가장 많은 나이대가 어디더라답나오지코로나 풀리면 그거 유투브에서 보고 더 빨리 유언비어 확산됨
그알이 남긴 역사로 남을 짤,,조선일보도 못믿는다더라 탄핵시국에 통수쳤다고 촌의 뒤를 잇는 명작인가 난 한강에서 저러는 인간들  극우들인줄 알았는데 어제 방송 보니 죄다 노친네들 병신들 촌의 뒤를 잇는 명작인가 조선일보도 못믿는다더라 탄핵시국에 통수쳤다고 병신들 짤줍짤줍대단한 짤이 나왔어 진짜난 한강에서 저러는 인간들  극우들인줄 알았는데 어제 방송 보니 죄다 노친네들 은 저새퀴 술마시고 꽐라되서 실족사 했구만이지웃음벨 언믿일믿에이은 유튜브만 믿어아이고 이짤 이후에 최고의 짤이구나 엌정말 명짤 탄생했구먼근데 실제 대들 유트브장난아니게 보더라한번 그쪽으로 보기시작하면 관련된 동영상들이 알아서 올라오잖아스맛폰에 익숙하지못한 분들일수록계속 노출됨
그알이 비겁한게 언레기는 안 다루더라,언레기 책임은 안 다루고 전부 유튜버로 몰아가는 느낌 유튭레카질 이 패악질이고 사태를 이지경으로 만든것은 사실인데  그렇게 가도록 길 터준게 언레기들이지언레기 들이 지들이 막 뿌려대면 이슈 만들수 있다고 자신하고 있어서언레기들이  앞에서 뿌리고  뒤에서 극우 유튭 일베 그리고 카톡에서 가짜뉴스 돌리는 업자들 이 활동하고이게 다 구조와 설계가 있는 것인데  그알은  그중 제일 중요한언레기의 문제는 외면했다,그알도 본질이 시방새라는거지국제파 관련 자료를 모으던큰별 가 교체당하고 나서 더더욱진짜 노리는건 이거 구실로 유튜버 조지는 밥그릇 싸움거는걸수도 있지실질적으로 언레기들이 선동질만 안했어도 한강 사건이 이렇게까지 커지지도 않았음 몇개월 전 뒷광고 논란 때도 를 위시한 공중파 방송국들은 애꿎은 쯔양 선동질로 쓰레기로 만들고 정작 지들 뒷광고 논란은 묻어버림 그때도 몇몇 유튜버들 날아갔지 공중파종편 방송국들은 피해 안봄그알 손절해서 뭐라 말은 못하겠지만 이걸 빌미로 강력한 경쟁자 제거를 하려는 꼼수같은 느낌본질은 시방새라서 진짜 노리는건 이거 구실로 유튜버 조지는 밥그릇 싸움거는걸수도 있지그알도 본질이 시방새라는거지국제파 관련 자료를 모으던큰별 가 교체당하고 나서 더더욱그알 손절해서 뭐라 말은 못하겠지만 이걸 빌미로 강력한 경쟁자 제거를 하려는 꼼수같은 느낌실질적으로 언레기들이 선동질만 안했어도 한강 사건이 이렇게까지 커지지도 않았음 몇개월 전 뒷광고 논란 때도 를 위시한 공중파 방송국들은 애꿎은 쯔양 선동질로 쓰레기로 만들고 정작 지들 뒷광고 논란은 묻어버림 그때도 몇몇 유튜버들 날아갔지 공중파종편 방송국들은 피해 안봄사망여우가 이때 이상민의샴푸광고 뒷광고를 지적했는데씨방새가 이상민과 합작하고연알시상까지 돌려먹으면서아주 제대로 기만했지본질은 시방새라서 유튜브에 뺐긴 시청자들 빼와야하는데팀킬 할 수는 없겠지 신의한수도 저 한강사건에 여론 만들었지나경원 주호영까지 이 사건에 가장 큰 책임이 있는게 기레기들인데 말이지지네들도 함께 우리가 남이가 하는 언론이다 이거지말 그대로 유어낫얼론이고 유어낫언론임
한국만 예외인 고학력자의 진보화, 저학력  저소득층을 지지기반으로 가지던 좌파정당이근래에 들어서 고학력  저소득층 기반으로 지지기반이 빠르게 이동사회문화적 이슈가 부상했기 때문 또한 과거에는 남성에서 좌파 정당의 지지율이 높았지만현재는 여성에서 더 지지를 받음  이건 한국도 마찬가지 청년층이 윗세대보다 일관되게 진보적인 서구 민주주의 국가와 다르게한국에서는 근래에 들어서 청년층이 더 보수적인 투표 경향사회문화적으로도 경제적으로도 마찬가지또한 고학력자로의 지지 기반 이동도 관측되지 않음 일본도 한국과 비슷하던데왜 한국과 일본만 동떨어져 있는지 연구해 볼 필요가 있음,한국 일본은 문자 그대로 생존이 우선시 되는 사회가 되어버렸음유럽 국가들도 높은 편이 아니지만 한국 일본이 고소득 국가중에서는 특출나게 출산율이 낮은 것도 그 이유생존 경쟁을 우선시하고 도태를 당연하게 여기는 것 자체가 이미 보수적인거지사회체제에 순응한다는 의미거든우리나라는 이제 세대별 지역별 소득별상관없이 선동에 잘 낚이는 체질로 변했나봐 아님 원래 그랬는데 선동이 유튜브로 확대되면서 같이 늘어난건가 아무리 언론이든 선동세력이든 선동을 해도 최소한의 사고는 할 수 있어야 하는데 그것도 무너진 느낌임 적폐는 똑똑하고 사라질 기미가 안보이는데 국민 개개인이 깨어나서 민주주의를 지켜도 모자랄 판에 점점 노예화되가니 참이거봐 통계로도 선동에 딱 잘 넘어가는 수준맞잖아 박그네인지 명박인지 취업안된다고 대학교에 철학과 없애고 수시비율 올리고 학교 직장 다 경쟁시키고 스스로 사고하는 학습은 없애고 오로지 경쟁만 시킨게 원인이라면 원인일까 어쨋든 확실히 언론탓만 하기에는 선을 넘었어 국민 수준이잘 생각해봐 원래 오래전부터 선동 잘 당했어하나만 얘기할 수야 없겠지만 명박이시절 프로파간다에 감화된 일베벌레들이 많은게 한 몫 하지한국 일본은 문자 그대로 생존이 우선시 되는 사회가 되어버렸음유럽 국가들도 높은 편이 아니지만 한국 일본이 고소득 국가중에서는 특출나게 출산율이 낮은 것도 그 이유생존 경쟁을 우선시하고 도태를 당연하게 여기는 것 자체가 이미 보수적인거지사회체제에 순응한다는 의미거든우리나라는 이제 세대별 지역별 소득별상관없이 선동에 잘 낚이는 체질로 변했나봐 아님 원래 그랬는데 선동이 유튜브로 확대되면서 같이 늘어난건가 아무리 언론이든 선동세력이든 선동을 해도 최소한의 사고는 할 수 있어야 하는데 그것도 무너진 느낌임 적폐는 똑똑하고 사라질 기미가 안보이는데 국민 개개인이 깨어나서 민주주의를 지켜도 모자랄 판에 점점 노예화되가니 참학사를 개나소나 받으니까 그렇지한국처럼 방통대사이버대학점은행제독학사 활성화로 학사 학위 따기 쉬운 나라가 또 어디있겠음클릭 한번이면 특정 학과 개설된 대학이 어느 학교인지 목록 쫙 뽑아지고검색 한방이면 엑셀로 정부가 대학 정보를 제공함대체로 고학력자는 전두엽노력 능력이 우수하고 우수한 전두엽은 대체로 공감능력으로 이어짐특히 전대상피질 따라서 진보를 지지함신경정치학이라는 분야가 있음한국은 전두엽 성능이 딸려도 대학에 갈 수 있음이거봐 통계로도 선동에 딱 잘 넘어가는 수준맞잖아 박그네인지 명박인지 취업안된다고 대학교에 철학과 없애고 수시비율 올리고 학교 직장 다 경쟁시키고 스스로 사고하는 학습은 없애고 오로지 경쟁만 시킨게 원인이라면 원인일까 어쨋든 확실히 언론탓만 하기에는 선을 넘었어 국민 수준이하나만 얘기할 수야 없겠지만 명박이시절 프로파간다에 감화된 일베벌레들이 많은게 한 몫 하지잘 생각해봐 원래 오래전부터 선동 잘 당했어근데 역사와 시대적배경에 따라 진보라는것도 변화해온거같어진보의 주장에 생각이 쏠리는 과거의 사람들은주로 시대적배경이 진보는 어쨋든 가지지못한자 힘이 없어 억울한자들의 편이었으니깐지금은 머랄까냉철한 이성과 합리성을 바탕으로한평등과 공익우선을 추구한달까그걸 지향하는 정당에 힘을 싣는문프가 딱 진보의 성향을 가지신진짜보수 짧은 내소견이오
그알에서 뭐랬길래 인정하는 사람들이 생김,남유게인지 여기인지 모르겠는데 반응 보니깐실족사가 맞는거 같다면서 그래도 피해자 측엔 하나도 안 미안하다고 네이버 카페에 글 올린거 퍼온게 있더만피해자가 죽였을거라고 아주 강한 믿음을 갖고 있지 않고선 저런 파렴치한 소리는 못 할텐데그럼에도 실족사가 맞다고 인정할만한게 방송에서 어떤게 나옴,겜끝이라고 보면 됨 쟤들이 우기는 영상 조작된걸로 드러났고 범죄심리학상으로도 켕기는거 없다고 나오고 둘이 술 오지게 퍼먹은 것만 팩트라고 나옴아니 그 친구랑 친구가족이 뭐 한마디 반발이라도 한적이 있나대체 지들이 뭘 인정하고 말고 한다는거방송에 그런내용안나왔음 걍 왜곡된 머리를가진 사람인가보지 맘카페같은 사이트도 그런 아줌 족족나오면 쳐맞는중그동안에 유튜브로 나오던 음모들 전문가 나와서 하나하나 다 재연 및 확인 함겜끝이라고 보면 됨 쟤들이 우기는 영상 조작된걸로 드러났고 범죄심리학상으로도 켕기는거 없다고 나오고 둘이 술 오지게 퍼먹은 것만 팩트라고 나옴글쿠만 방송에 그런내용안나왔음 걍 왜곡된 머리를가진 사람인가보지 맘카페같은 사이트도 그런 아줌 족족나오면 쳐맞는중아니 그 친구랑 친구가족이 뭐 한마디 반발이라도 한적이 있나대체 지들이 뭘 인정하고 말고 한다는거그동안에 유튜브로 나오던 음모들 전문가 나와서 하나하나 다 재연 및 확인 함
암만봐도 한강에 과몰입한건 딱 그 부모 정도 나이임,젊은층도 있겠지만 박종철 열사 찾고 어쩌고 하는거 보면 딱 그거 아니냐 보수 대학생대 ,난 이생각 밖에 안들더라유튜브에 과몰입하는 연령대도 딱 그거니까저번에도 북유게에서 나온 분석이지만저 한강의대생이 그 시대의 워나비 집안삼성다니는 아버지 그리고 서울대 의대생그 시대의 로망이 다 담긴 집안이다보니 더욱더 애착감을 가진다는 그런 분석이었지네이버 댓글 보면 대 여성이 젤 많이 쓰는거 같더라빼애액 나 여고생인데 동년배들 다 타살이라고 한다유튜브에 과몰입하는 연령대도 딱 그거니까네이버 댓글 보면 대 여성이 젤 많이 쓰는거 같더라저번에도 북유게에서 나온 분석이지만저 한강의대생이 그 시대의 워나비 집안삼성다니는 아버지 그리고 서울대 의대생그 시대의 로망이 다 담긴 집안이다보니 더욱더 애착감을 가진다는 그런 분석이었지서울대는 아니고 인서울은 맞음난 이생각 밖에 안들더라빼애액 나 여고생인데 동년배들 다 타살이라고 한다혹시 취업 집값 코인 분노한다는 도 실상은  본인이나 그들 자식 아닐까 어제 베글보니 대부분 코인한다는 기렉 야당 커뮤 피셜과 달리 실제로는  퍼 정도만 한다고 영끌로 집 많이샀다는 것도 실상을 알고보면 고가 다주택 안내놓으려는  부모들의 증여가 많기도 할거고젊은층 많아맘카페에서도 아주 난리도 아니었지아무리 그래도 죽은아버지보다 더힘들겠냐고 그러더라고령대 다니시는 분들이지어제온사람들이 대부분 엄빠나잇대던데자식잃어본사람이라 공감된다고 그냥나온사람도있고 글트라노인대학 다닐 수도 있으니 대학생이라면 대학생이겠지 머
한강 사건이 말해주는 대형렉카와 좋소렉카의 차이,좋소렉카  어떻게든 끌고 갈려고 함대형 렉카  안뭄,꼴에 대형렉카라고 안 무넹일반인 실명공개 명예훼손은 빼박이니까렉카도 전문가와 아마추어가 존재하구만주호영나경원은 좋소렉카인거인가 그럼 물었던데 맞네꼴에 대형렉카라고 안 무넹일반인 실명공개 명예훼손은 빼박이니까맞네렉카도 전문가와 아마추어가 존재하구만주호영나경원은 좋소렉카인거인가 그럼 물었던데 유튜브영향력은 중소긴하지이준석한테도 밀리잖아 응 신의한수는 대형 렉카아닌가
한강사건 요약, 언론 믿지마 일베를믿어,지능이 딸리는것들이 유튜브 광신하더라대표적인 예 찢파리들 찢긴노공감티브이 광신하잖아저거보면 노인층도 유투브 세뇌 많이 됐구나 싶음진짜 때리고싶운 쌍판이다 이새끼 사업가도 아니고 엠생 백수라더만 일베가 헌국의 중심을 지고 있어요저거보면 노인층도 유투브 세뇌 많이 됐구나 싶음지능이 딸리는것들이 유튜브 광신하더라대표적인 예 찢파리들 찢긴노공감티브이 광신하잖아굳이 이재명박이들 뿐인가 뻑가에 뇌를 의탁한 보리수새끼들이 이재명박이들보다 더 많이 보이더라 경상도에서 올라오신 분들인가 주옥순부대이신가 참 보기 거북하네요 일베가 헌국의 중심을 지고 있어요진짜 때리고싶운 쌍판이다 이새끼 사업가도 아니고 엠생 백수라더만자기 머리로 생각 못하는 찐따 새기들이라는 거지사이언스네 자식들이 벌어다 주는 돈 혹은 나라에서 주는 돈 저런데다 보내주고 그러는 노인들 진짜 불쌍하지도 않다 이제이순간 안방에서 문열고 주무시는부모님들 깰까봐 거실서 입틀어막고 웃음 참느라 뒤지는줄 알았다 유튜브도 그냥 이대로 방치하면 안됨 커뮤니티도 그렇고
오늘자 그알에 나온 유튜브 채널 곳,밀쳐지는 손을 봤다는 분수술용 메스를 휘둘렀다는 분천안함 기부를 본인은 했는데 그알피디는안했단분,오오 저것들이 바로 걸어다니는 쓰레기 하치장이군요수천 떙기고 몇 푼 기부하고 인생 자체가 쇼네신혜식 신의 한수 걔 아님확실안 목격자는 뭐냐목격자 이름이 확실안이냐븅맞춤법이라도 맞게 쓰던가아븅틀닥들한테는 신경안써도 된다맨 아래 남자 유튜버 누구임오오 저것들이 바로 걸어다니는 쓰레기 하치장이군요수천 떙기고 몇 푼 기부하고 인생 자체가 쇼네맨 아래 남자 유튜버 누구임신혜식 신의 한수 걔 아님확실안 목격자는 뭐냐목격자 이름이 확실안이냐븅맞춤법이라도 맞게 쓰던가아븅틀닥들한테는 신경안써도 된다번째 저 기자인지 뭔지는  택시기사가 운전중에도 계속 보던데 한마디 하려다가 참음 재미도 없고 걍 궁시렁거리기만 하던데 라이브에서손석희한테 이말 들은 기자로 유명하지이건 손서키가 맞말했네진짜 
한강실종사건 코난들의 주장이 맞다면 군 아버지는,경찰 매수검찰 매수기자 매수변호사 매수언론 매수 매수편의점 알바 매수낚시꾼 매수그것이 알고싶다 매수그알 범죄심리학자 매수국과수 매수 매수택시기사 매수김상중 매수유일하게 매수못한 사람 유튜버 ,무엇보다 이수정은 지들편일텐데 어떻게 매수했대거 이재용도 감옥가는데저게 다 매수가 되다니근데 저 중에서 매수하기 젤 쉬운게 유튜버임 심지어 아예 유튜브는 걍 돈주고 영상 만들고 조회수 구독자도 뻥튀기 시키는게 가능함 트자코의 난 생각나네 자기들 빼고 모든 인터넷이 최빠한테 먹혔다고 주장했지 매수 성공률 퍼  신급일쎄무엇보다 이수정은 지들편일텐데 어떻게 매수했대트자코의 난 생각나네 자기들 빼고 모든 인터넷이 최빠한테 먹혔다고 주장했지 확실히 최빠에게 먹힌게 맞는거같애양 •▽•거 이재용도 감옥가는데저게 다 매수가 되다니매수 성공률 퍼  신급일쎄소방관도 있어 도근데 저 중에서 매수하기 젤 쉬운게 유튜버임 심지어 아예 유튜브는 걍 돈주고 영상 만들고 조회수 구독자도 뻥튀기 시키는게 가능함  진짜 군이 살해했고 저정도 매수 가능하면 살인청부업자를 찾아서 매수하는게 더 싸고 쉽게 먹혔겠는걸한강 사이버 렉카들 수익 보면 고작 천만원이면 매수할 수 있는데 저런 권력과 재산을 가지고도 냅둔다고 풀매수 코인이야
그알보고 생각난 요즘 전반적인 사회분위기 문제,,사실 어찌보면 유튜브 알고리즘이 진짜 위험한거지개인의 정보를 수집해서 관심사의 알고리즘만 뜨게 해서 계속 그 정보안에서 못벗어나게 루프를 돌리는거니깐인터넷으로 양질의 정보와 더불어 훨씬 더 많은 왜곡되고 쓰레기같은 정보도 몰려오기 때문한사람이 그 정보를 다 처리할 수 없으니 자기 좋은대로 취사선택하는거지확증편향같은건가웹  시대가 되고 더군다나 유튜브는 알고리즘에 따라 움직이기 때문에 이게 정말 한정된 극단적인 정보밖에 못접하게 만들게 됨그냥 존나 멍청한거지 타인을 이해할 이타주의같은것도 없고인터넷으로 양질의 정보와 더불어 훨씬 더 많은 왜곡되고 쓰레기같은 정보도 몰려오기 때문한사람이 그 정보를 다 처리할 수 없으니 자기 좋은대로 취사선택하는거지확증편향같은건가확증에 이르는 단계에 대한 설명인 듯 그 이후 편향되겠지웹  시대가 되고 더군다나 유튜브는 알고리즘에 따라 움직이기 때문에 이게 정말 한정된 극단적인 정보밖에 못접하게 만들게 됨사실 어찌보면 유튜브 알고리즘이 진짜 위험한거지개인의 정보를 수집해서 관심사의 알고리즘만 뜨게 해서 계속 그 정보안에서 못벗어나게 루프를 돌리는거니깐그래서 일부러 자기가 관심이 없고 보지못한 분야의 영상을 보려고 함트위터가 딱 그런 시스템이어서 방구석 여포들 양산했는데이제 유튜브가 그러고 있네  젊꼰이 많아지는 이유인가그냥 존나 멍청한거지 타인을 이해할 이타주의같은것도 없고토크멘터리 전쟁사에서 이미 배웠지 사람은 보고 싶은거만 보고 듣고 싶은거만 듣는다 사람은 자기 수준내로 생각을 한다커뮤니티 다 마찬가지 아니냐여기도 저기고 다른의견 말하면  너이색히 하면서 반대부터 죽어라 찍히는데 뭐인터넷으로 같은 생각을 하는 사람이 쉽게 모일 수 있어서 저런 현상이 더 쉽게 일어날 수 있나유튜브의 큰 역활을 하고 있지그래서 유튜브도 언론법으로 규제해야 함그리고 우리의 게으름이 이런사태를 부르잔아베스트에 있는 글만보고 아 그렇구나 하고 찿아보지 않잔아 물론 현명한 유게이들이 정보를 보고 찿고 알려 주지만순간 플라스틱으로 봤네말할수 있는 자유와 허위사실 유포의 중간에서 돈을버는 쓰레기들의 세상 이라는거지이게 정말 너무 심각해 이건 좋같은 기레기색히들과 커뮤니티 알바색히들의 영향이 큼 알바들이 커뮤니티 들어와서 가짜 정보로 현혹하니까 그걸 방어하면서 저런현상이 더 심화됐음옛날 군주정이나 인독재정권 시대보다 나아진게 없거나 오히려 더해졌네
