제목,본문
서수진 서신애 팩트 정리,서신에는 학창시절 수진과 대화를 나눠본적이 한번도 없다 서신애도 그건 인정했다 교실 자체가 멀찌감치 떨어져있었고 아예 건물 다른층이다 그럼 서수진이 서신애보고 뭐라고 시비걸거나 나쁜 짓을 직접 했는가 그런 기억도 서신애한테 없다 그냥 자기를 조롱하번 무리들 속에 서수진도 있었을 것이라는게 서신애 생각이다 그리고 서신애는 더이상 이 시건에 관여하고 싶지 않다는 입장을 밝혔다미연 민니 소연 우기 슈화 아이들 서수진 서신애
있지 예지 염색 신기한 데 예뻐,앞머리 반만 염색했지만 하이 포니테일 하니까 뭔가 반반머리 처럼 보임 예지의 미모는 참 기가막혀  
에스파 카리나 상위 호환 같은 아이돌,슈가 박수진 
수진 퇴출 아니래,아직 경찰수사중이고 수진이 일이 길어지면서 피해끼칠까봐 탈퇴 결정한가래
단어 외우다가 판녀 봄, 이런식으로 판밍아웃을 하냐 반칙이다  
히틀러가 대중들을 다루던 방법, 
니들이 태용 얼굴 깐다고,태용이 못생겨 질거같음 니들이 평생 이태용 까면서 발작해도 이태용은 그냥 졸라 잘생긴 임 오늘 사진 한장으로 성희롱 얼평하면서 별 을 다떨던데 부모님이 보시면 뭐라하시겠니 열폭좀 적당히 하자 
아이즈원 멤버들 근황,권은비팔로우미 최근에 솔로 데뷔 앨범 마무리사쿠라김채원과 함께 하이브로 이적 일본 화장품 브랜드    모델강혜원일진에게 찍혔을때 웹드라마 캐스팅 개인 유튜브 활동 우리 식구 됐어요 예능 촬영최예나예나는 동물탐정 예능  솔로 앨범 준비중이채연스트릿 우먼 파이터 크루 윈트로 출연 겟잇뷰티 박스 김채원사쿠라와 함께 하이브로 이적김민주음악중심  구해줘 숙소 예능 나코 그룹으로 활동중 일본 공중파 예능 방송에 단독으로 여러번 출연의류 브랜드 키르시 모델히토미 그룹으로 활동중 이번 최근 신곡에 선발 멤버로 뽑혀 활동중 나코와 같이 키르시 모델조유리화장품 브랜드 컬러그램 톡 글로벌 뮤즈 이석훈과 듀엣으로 가을상자 일 발매 예정안유진인기가요 펩시광고장원영화장품 브랜드 이니스프리 모델 미우미우걸
나 모르는 동네에 버려 짐 도와줘 어 떡해,엄마가 만원 찾아놓은 거 가방에 넣어두라고 해서 식탁 의자에 있는 엄마가 맨날 들고다니는 가방에 넣어뒀거든 근데 차 타고 시골 가는 길에 엄마가 어디다가 놨냐고 하길래 엄마가 맨날 들고다니는 가방 이랬더니 그걸 거기다 넣어두면 어떡하냐고 그 큰 가방을 시골가는데 들고갈 거라고 생각했냐고 너는 생각이 있냐면서 갓길에 차 새우고 너는 집에 가라고 당장 내리라고 소리질러서 걍 어쩔 수 없이 내림 돈도 없고 핸드폰 배터리도 없어 여기 어딘지도 모르겠음  어떡해 
남편이 저보고 식 탐 있다는 데 제가 식 탐인지 봐주세요,거두절미 하고 제목  처럼 제가 그렇대요이유는요 저는 일단 하루에 한끼를 먹어요그것 많이이유는 아이를 둘 낳았는데 먹덧이라 살이 좀 많이 쪘었어요아이 낳기 전에는  누가봐도 마른 사람이었는데어느날 다른 사람이 제 사진  찍어준걸 보내줘서 봤는데내가 알던 내가 아니더라구요그래서 운동 다시 시작하고 아이 낳기 전보다 더보기 좋은 몸으로 됐어요이렇게 되기까지 하루 한끼 무조건 먹고 싶은거로 많이 먹어야 해소가  되더라구요그리고 또  술을  좋아해서 애들 자면 꼭 소주 한잔씩 하구자는데 그래서 인지 다음날은 무조건 국물이예요신랑이 식탐이 많다고 이야기 하는게저는 제가 먹고 싶은건 꼭 먹어야해요어쩔수 없이  못 먹는 상황이 오면 짜증이 나요예를 들면 저는 칼국수 집을 가고 싶은데애들은 칼국수 집을 간대요근데 애들 아빠는 애들 의견 따라서 칼국수가 맛이 있으나 애들은 를 원하니 를 가겠다정 먹고 싶으면 우린에서 먹을테니 너는가서 먹고와라합니다그럼 저는 마음 편히 제가 먹고 싶은거 먹고오면 되는데마음 편히 그게 안되더라구요그래서 짜증이 나는데짜증이 나는게 식탐이래요저는 제가 먹고 싶은 만큼 시키고 남기지 않아요예를  들어서 짬뽐곱배기를  시키고 밥  말아 먹을때여보도 밥 말아 먹을꺼야물었는데 않먹는다 했다가 나 한 숟가락만했어요여기까지는 그냥 그런대 나는 밥 한공기에 한 숟가락을 허용 했는데반을 퍼가면 짜증이 납니다이럴꺼면 두공기 시켜서 너가 반을 남기더라도 내가 한공기 반을 다 먹으면 될 일인데왜 내 먹을양을 뺏어가냐이랬더니 식탐이래요아니 내가 니 밥을  뺏어가길 했냐 니 짬뽕 국물을 뺏어 먹었냐 나는 그냥  많이 먹고 싶은 사람 이다이랬더니 먹는 거  때문에  짜증이 난 다는 것 자체가식탐이래요하도 식탐 식탐 하니까 저도 진짜 제가 식탐이면자제 하려구요아 그리고 또 저는 식당에서 밥 먹을때도 맛있는 반찬이있으면 메인도 안먹고그 반찬만 가능하다면 회정도 리필을 요구 합니다그럴때 신랑이 적당히 하라고 경고같은걸 날려요식탐 부리지 말라고이것도 식탐 인가요 
난 원래 쌍커풀 있는 애들 좋아했는데 요즘은 투바투 연준 방탄 뷔 같은 무쌍에 관심 감,엥 아니 그냥 하이브 상 좋아하는건가
그럼 수진 재합류,가능성 있는 건가 안될라나  걍 아니라고 결과 뜨면 재합류 했으면 좋겠다 재능 너무 아까워 그리고 뭣보다 수진 무대하는 거 다시 보고싶음 
스키즈 한 승민 이 사진,진짜 데이식스 영케이랑 원필 닮았다 
