,id,content,date
0,맛있으면춤추는사람,"
          웨이팅을 한 시간씩이나 할만큼 맛있는지는 모르겠어요집이 근처라 오며가며 볼때마다 생긴 지는 얼마 안 됐는데 웨이팅 하는 분들이 많길래 궁금해서 방문했는데 평범한 맛이예요.
        ",20 시간 전
1,슈빙,"
          나 돼지생갈비 제대로 먹어본 적 없네?...무학에서 돼지생갈비 첫 한 점 먹어보고서야 깨달았다. 이 탄력 있는 육질과 씹으면 입 안에 촥 번지는 기름진 육즙은 뭐지? 하고 놀랐기 때문. 내가 예상하지 못했던 식감이다. 와사비나 소금에 살짝 찍어먹는 거야 기본적으로 잘 어울리고 추천해주신대로 양파절임과 고수를 같이 먹는 것도 궁합이 아주 좋았다. 입안이 개운해져서 계속 먹을 수 있음! 고기에 칼집을 내서 겉이 약간 크리스피해서 느끼함을 커버해준 것도 한 몫했다.순두부찌개는 의외의 내 맛! 순두부찌개 쏘울푸드인데 백반집에서 먹는 평범한 그 맛이 아니라 매콤한 술집 안주 느낌이다. 술안주...기름진 생갈비 먹고 소주 한 잔 마시고 순두부찌개 먹고 소주 한 잔 마시고 하면 소주 몇 병 없어질 듯.물냉면은 고기집 냉면 그 자체.양념게장이 반찬으로 나오는데 비리지 않고 속도 꽉 차있다. 게장만 포장할 수 있는 거보니 인기가 많은 듯.비 오는 낮인데도 불구하고 손님이 좀 있는 편이었다.직원분이 고기 잘 구워주고 맛있게 먹는 법도 친절하게 알려줘서 좋았다.
        ",2021-04-02
2,JENNY ,"
           돼지생갈비도 삼겹살만큼이나 매력적! “돼지생갈비”☆  - 고기는 세 종류지만 우린 생갈비만 팠어요. 양념된 것들은 부드럽기만한데 얘는 좀더 씹는 맛도 있고 비계의 기름진 맛도 더 잘 느낄 수가 있죠. 맛있어요! 먹는 방법을 제안해주는데, 고기가 좋아서 소금만 찍어먹어도 맛있고, 중간중간 와사비까지 더해준다면 더 좋죠. 고수와 양파절임과 함께 먹는 방식도 있는데, 생각보다 너무 잘어울리던걸요?! 고수를 즐기지 않는 저도 여러번 먹었어요, 추천추천! “순두부찌개”는 꽤나 자극적이에요, 이제까지 먹어본 순찌 중 제일 빨개요. 그리고 그만큼 맵지만 계속해서 땡기는 맛이랍니다 :) “물냉면”은 간이 좀 삼삼했는데 매운 순찌 먹은 속을 달래기엔 괜찮았긴 하지만 굳이 안 시켜도 될 것 같아요. 돼지 생갈비는 소갈비만큼 흔하지 않죠, 하지만 질 좋은 돼지라면 굳이 양념을 끼얹지 않아도 충분히 맛있죠. 우린 그걸 너무 늦게 깨달았어요, 그러니 이런 돼지생갈비를 파는 곳이 더 있었으면 좋겠네요.
        ",2021-03-31
3,Yenny,"
          ‘돼지생갈비’ 전문점 무학.토요일 오픈 시간에 맞춰 가서 바로 먹을 수 있었다. 저녁에 지나갈 때는 웨이팅이 조금 있어보였음.돼지갈비는 양념으로만 먹어봤지, 돼지생갈비는 처음이라 설레면서도 안먹는덴 이유가 있지 않을까 걱정도 됐다. 결론은 외않머거...?부드러우면서도 식감이 살아있는 것이 삼겹살과는 또 다른 매력이 있었다. 육향도 너무 좋고..글 쓰고 있는 지금도 다시 생각나서 또 먹고싶어진다..소금 - 양파절임과 고수 - 장아찌 순으로 함께먹기를 추천해주셨는데, 소금만 찍어도 맛있지만 고수와의 조합이 신선하고 좋았다!자칫 고기가 기름져서 물릴 수 있는데 계속 고수가 리프레쉬를 시켜줘서 더 많이 먹을 수 있게 하는 고단수...양념갈비도 먹어볼까 고민하다가 결국 흔치않은 생갈비만 먹었다.사이드로는 물냉면과 순두부찌개를 시켰는데, 냉면은 무난무난하고 순두부가 아주 칼칼하고 자극적이어서 중독성 있었다.고기 구워주시는 직원분은 사진 찍을 때 환풍기를 잡아주실 정도로 친절하셨고, 고기도 물론 맛깔나게 잘 구워주셨다.삼겹살 먹을 때보다 냄새가 덜 베이는 것 같은 것은 기분탓인가.맛도 좋고, 위치도 가까워서 재방문의사 있음.
        ",2021-03-29
4,준영,"
           돼지생갈비가 궁금해서 밋업으로 다녀온 무학! 생갈비 외에는 관심이 없어서 넷이서 생갈비만 5인분 먹고왔어요ㅋㅋ 생각보다 1인분이 넉넉해서 배가 꽤 차더라구요! 식사류도 괜찮았고ㅎㅎ 보통 양념돼지갈비는 흐물흐물 촉촉한 맛에 먹는데 돼지 생갈비는 살짝 크리스피한데 속은 촉촉해서 더 매력이 있었던 것 같아요. 대신 위치별로 간간이 퍽퍽한 곳이 숨어 있더라구요! 고수랑 와사비랑 해가지구 먹으면 정말 매력적ㅎㅎㅎ 식사는 다행히(?) 일행의 대부분이 청국장을 못먹는 관계로 순두부찌개랑 물냉면 하나 했어요. 순두부찌개에 순두부가 너무 적고 바지락 해감이 너무 제대로 안되어있어서 좀 아쉬웠는데 칼칼한게 매력적이어서 국물은 계속 들어가더라구요! 가격도 4천원이라 나름 합리적:) 냉면은 너무 자극적인 편은 아니라 괜찮았구요. 그리고 여자 직원분께서 정말 친절하셔서 좋았습니다!
        ",2021-03-28
5,Taste10good,"
          신당, 상왕십리 #무학.오픈한지 얼마안된 돼지고기 맛집. 정확히는 돼지생갈비 맛집!오픈전 공사기간 지나가다 간판만 보고 느낌이 왔던 너무궁금했던 가게..고기를 그렇게 먹으러 다니는 나에게조차 돼지갈비는 양념갈비만 먹어봤지 돼지생갈비는 너무나 생소한 메뉴였다..받아보고 지방이 너무 많고 삼겹살과 유사한 비주얼이어서 의아했지만 이런 돼지고기 부위가 있나 싶을 정도로 부드럽고 고소했다..감히 말하는데 삼겹살 이상으로 맛있을 수 있는 부위라 생각든다. 그간 왜 양념갈비만 먹었을까 하는 생각이 들정도....여기도 메뉴로 양념갈비가 있지만 맛이 어떗는지 기억조차 안난다. 무조건 생갈비다 여기는.특이하게 고수잎도 제공되는데 은근 고수와의 궁합도 나쁘지않다..또한 여기는 청국장으로 유명한 집이라, 청국장은 필수 주문이다. 가게 입구 들어서자마자 나는 냄새의 주인공인 청국장..들깨가루마냥 씹히는 콩가루의 고소함과 따뜻함이 한끼든든하게 마무리를 해주는데 만족도 100점이다..아직 입소문을 타지 않았지만 동네사람들 사이에선 어느정도 유명해져서인지 조금씩 웨이팅이 생기는 곳이다. 더 늦기전에 방문해봐야할 집!.메뉴정보:돼지생갈비(200g) - ₩15,000양념갈비(250g) - ₩15,000청국장 - ₩5,000
        ",2021-03-11
6,기미상궁,"
          ""생갈비에 비빔냉면은 최고의 조합""신당역과 상왕십리역 사이에 위치한 '무학'이라는 돼지 갈비 집이옵니다. 가게 내부는 손님들로 북적이니 오픈한지 얼마 되지 않은 집임에도 이미 동네 주민분들에게는 빠른시일에 맛집으로 인정받았구나..를 단숨에 알수 있었사옵니다.소인은 이날 갈매기살을 제외한 양념갈비와, 생갈비를 맛봤사옵니다.생와사비와 소금 거기에 생선젓갈을 기본 구성으로 내어 주시는 집이오니 이 집은 양념보다는 확실히 생갈비에 힘을 많이 주고 있는 집임을 느꼈사옵니다. 헌데 어머니께서 양념을 드시고 싶다 하여 가볍게 양념부터 시작을 하였사옵니다.양념은 최근에 선수동에 대성갈비를 다녀온터라 입맛이 상당히 올라가 있었사온데. 그럼에도 일반 고깃집 돼지 갈비보다는 확실히 윗길이더이다.아무래도 이 집은 생갈비가 맛있는 집이고 반찬 구성에서 부터 드러나있는 집인지라 시작은 생갈비로 추가고기를 갈매기살이나 양념갈비로 가는 순서를 추천드리옵니다.생갈비는 굽는 기술이 좀더 필요한듯하여 직원분들께서 아주 잘 구워주시옵니다. 파절이와 양파절이, 속젓과 고추냉이 소금 이 모든것은 생갈비를 맛있게 먹기 위함이니 취향껏 같이 곁들여 먹는 재미도 있사옵니다. 부드러운 식감이 확실히 맛있더이다.후식으로 냉면을 먹었사온데. 물론 이 집은 냉면 전문점이 아닌 시판 냉면을 쓰시올텐데 면의 담음새부터가 남다름에 맛도 차원이 높더이다. 사장님께서 ""우리는 비빔냉면이 맛있다""하고 추천 해주셔 배가 터질꺼같지만 궁금함에 비빔을 주문하였사온데.. 웬만한 함흥 전문점  보다 맛있음에 놀랄정도였사옵니다. 이정도 집이라면 다른 메뉴 모두가 맛있을듯 한 집이옵니다...믿고 갈수 있는 그런 집이라 사료되옵니다.
        ",2021-03-07
7,나영이,"
          아직도 갈 곳이 너무 많은 핫플 신당동. 상왕십리랑 신당역 중간 즈음이라 신당이라 하긴 약간 애매하긴 하지만 바로 큰 길 옆이라 접근성이 나쁘진 않은 것 같아요. 평일 5시 방문이었는데 거의 만석일 정도로 인기가 많긴 많더라구요! 예약이 되는지는 모르겠지만 왠만하면 예약 추천.메뉴판에 있는 모든 종류인 돼지생갈비, 갈매기살, 양념갈비 다 먹어봤는데 베스트는 생갈비. 생갈비를 먼저 먹어서 그런지 나머지 부위는 크게 매력도가 떨어졌던 것 같아요.갈비는 일단 비주얼부터 합격. 칼집이 살살 나 있는 스타일인데 두께감이 있어서 씹을 때 저항감을 먼저 떠올리게 되더라구요. 가격대가 그래도 좀 있는 가게답게 직원 분이 신경 써 주시는 점도 메리트! 첫 고기는 소금에 살짝 찍어 먹었는데 육즙 가득 부들부들한 느낌이 예상한 그대로라 너무 좋았어요. 생갈비라 그런지 육향도 느껴지고 질 좋은 고기가 갖고 있는 요소들이 잘 내포된 느낌. 와사비 등 다른 컨디먼츠들을 곁들여도 맛있지만 본연의 맛으로도 충분히 경쟁력 있는 고기.양념갈비는 위에서 말씀드린 그 요소들을 살짝 가리는 듯한 인상을 받아서 생갈비만큼 인상적이지 않았어요. 다만 생갈비만 먹기에 물린다면 맛 보는 정도로는 나쁘지 않을 것 같아요. 갈매기살도 다른 집에 비해서는 맛이나 두께감에서 나오는 식감 등이 뛰어났다고 생각하는데 갈매기살보단 갈비를 더 주문할 것 같아요.고기로 승부한 날이라 다른 식사류는 못 먹었는데 기본 찬으로 나온 맛있었던 양념게장이 사이드 메뉴로도 있고 청국장, 순두부찌개도 가격이 착해서 식사 걱정도 없을 것 같아요. 약수까지 범위를 넓히면 얘기가 달라질 수도 있겠지만 이 근방에서 돼지갈비는 톱인 것 같네요!
        ",2021-03-07
8,권오찬,"
          * 한줄평 : 동네식당 응원 프로젝트 (상왕십리 무학)1. 학이 춤을 추었다는 무학봉 아래 신설 식당이 생겼으니 그 상호 역시 무학이라.레트로한 외관에 시중 식당에선 만나기 힘든 돼지 생갈비를 취급하는 식당이니 구미가 동하던 차에 다녀왔다.2. 첫방문이라 메뉴판에 있는 거의 모든 음식을 주문하였다.시그니처격인 돼지 생갈비, 추가로 주문한 양념갈비, 청국장과 물냉면을 먹어봤는데 이 집이 추구하는 음식 철학은 <차별성>이라는 생각이 들었다.3. 일반 돈육 식당에서 주로 취급하는 삼겹살과 목살은 라인업에 없고, 제주에서나 경험할 수 있었던 돼지갈빗대에 붙은 고기를 판매한다. 찌개 역시 된장이 아닌 청국장과 순두부를 메뉴로 구비했다.4. 특히 가장 감탄했던 한입은 생갈비, 양파절임과 <고수>의 조합이다. 빈대라는 벌레와 냄새가 비슷하다 하여 고수는 <빈대풀>로 불리기도 하는데 그 이질적인 향미때문에 한국인에게 호불호가 강한 허브이다. 5. 청국장도 좀 짜긴 했지만 큼지막하게 떼어낸 두부와 잘 발효된 콩, 인심 후하게 들어간 고기 등이 어우러져 잘 끓여냈다. 6. 먹는 내내 어디선가 만나본 것 같은 데자뷰가 계속 간질거렸는데..시중 식당에서 보기 힘든 특수부위와 자체 개발한 철판, 레트로한 외관 등이 낯설지 않았는데, 신당의 <백송>과 관계가 있는 듯 하다.7. 현재보다는 좀더 이후가 기대되는 식당이다.
        ",2021-01-10
9,ethanghymn,"
          지난 첫 방문에서 맛봤던 돼지생갈비가 좋았어서 빨리 재방문하고 싶었었는데 코로나19로 가족들이 집 밖으로 안 나가려고 해서 오늘 겨우 부모님을 모시고 재방문해 봄.혹시나 코로나19로 영업을 안 할까 미리 전활해서 영업하는 걸 확인 후 손님이 많을까 이른 시간에 들르기로 하고 가게 앞에 서니 5시쯤이었음.자리에 앉아 대표메뉴이기도 하고 젊은 사장님께서도 가장 추천하는 메뉴인 돼지생갈비 3인분을 주문함.먼저 물과 밑반찬들이 준비되는데 가족인원은 갓장아찌가 맘에 드는지 좋아하고 파절임은 지난번과 살짝 달리 좀 더 라이트하게 무쳐져서 내 타입일까 했는데 지난번보단 더 라이트하지만 여전히 내가 좋아하는 라이트함보단 살짝 워터리하고 맛 역시 내가 좋아하는 맛과는 살짝 차이가 있었음.사장님이 고수를 드시냐고 물으셔서 먹는다고 하니 돼지생갈비를 간장소스에 찍어서 먹을 때 고수를 같이 곁들여서 먹으면 좋다고 하시면서 가져다 주심.양념게장은 여전히 살이 꽉 차있으면서 껍질은 비교적 얇아 씹어서 먹기에 좋고 양념 맛도 좋음.먼저 한 눈에도 좋아보이는 참숯이 준비되고 그 위에 무쇠 그릴이 올려진 후 적당히 데워지곤 돼지기름칠을 하고 역시나 한 눈에 좋아보이는 돼지생갈비가 올려짐.난 돼지생갈비가 흔히 보기 힘든 건지 몰랐는데 엄마도 돼지생갈비는 처음 먹어보는 것 같다고 하시길래 흔치 않은 메뉴였구나 함.잘 구워진 돼지생갈비를 각자의 앞접시에 한 점씩 놓아주셔서 나한텐 고기를 먹을 때 더 이상의 조합은 없는 것 같은 굵은 소금을 찍어 맛을 보니 역시나 좋은 고기의 깨끗하고 잡내 1도 없는 맛에 미소가 지어지고 가족인원과 부모님도 나름 좋아하심.난 돼지고기를 그다지 좋아하진 않았었는데 전에 가족인원이 부모님을 모시고 갔었던 하남돼지집에서 맛봤었던 삼겹살은 이젠 흔해졌지만 그 당시엔 불판 온도를 온도계로 측정하는 등 아무튼 새로운 경험이었으면서 삼겹살의 맛도 좋아 삼겹살에 대한 인식을 바꾸게 됐었고 그 후엔 삼겹살도 좋아하게 되서 육전식당이나 땅코숯불구이, 길목 등도 찾게 했던 계기가 됐었음. 아쉽게도 하남돼지집은 지점이 많이 생기면서 흔히 보는 퀄리티 저하로 이젠 더 이상 방문하진 않지만..아마도 그래선지 여기 무학은 신상가게라서 의욕과 퀄리티 뿜뿜일 때 더 방문하고 싶어서 재방문을 일찍 한 것 같기도 함.간장소스나 와사비, 갈치속젓에도 찍어서 먹었는데 난 역시 굵은소금과 갈치속젓 정도가 좋은 것 같음.돼지생갈비는 지방이 많은 편인데 엄마는 지방부분보단 살코기부분이 더 좋으신지 그런 부분을 찾으시길래 엄마 식성이 저래서 나도 예전엔 그랬던거구나 하곤 이젠 오히려 지방 부분을 더 좋아하는 내가 얼마나 식성이 달라졌는지 놀람.다른 고기도 맛볼까 했지만 사장님께서 다른 메뉴도 좋지만 그래도 역시 가능하면 돼지생갈비로 드시는 게 제일이라고 하셔서 추가로 3인분을 더 주문해서 먹고 배가 부르다고 하셔서 냉면은 못 시키고 공기밥 2개에 엄마도 그렇고 나도 좋아하는 인기있다고 하는 청국장을 부탁드림.청국장은 내가 좋아하는 김치가 들어가 매콤한 김치청국장은 아니었지만 흔한 청국장 가게에서 보는 나물들이 곁들여져 나오고 고추장도 넣어 비벼 먹는 타입이 아닌 그냥 청국장과 맨밥을 먹는 내 타입인 게 맘에 들고 냄새도 쿰쿰해 좋은데 엄마도 맛을 보시곤 괜찮네 하시고 나도 맛을 보니 김치가 안 들어가 칼칼함이 없는 건 아쉽지만 제법 진해서 좋고 평소라면 돼지고기가 들어가는 건 안 좋아하는데 여기껀 좋은 고기가 들어간 걸 알아서 제법 들어있는 고기가 전혀 두렵거나 하지 않고 일본 라멘집의 차슈처럼 좋게 느껴져 먹는데 1의 망설임도 없음.난 음식을 안 남기는 편인데 배가 너무 불러 청국장을 남기는 게 너무 아쉬웠지만 1/3쯤 남기고 마무리를 함.고기를 먹고 쿰쿰비교적진한 맛의 청국장으로 마무리하는 것보단 비빔냉면으로 마무리를 하는 게 더 내 타입이지만 청국장이 궁금해서 맛봤는데 청국장이 점심시간 같은 때 식사메뉴로 나오면 인기 있겠다 싶음.4명이 돼지생갈비 6인분을 먹으니 배가 불렀고 계산을 하니 식사와 콜라 등을 다 해서 1십만원이었어서 흔한 특급 호텔의 뷔페 레스토랑의 다양한 음식 가짓수에 비할 순 없지만 돼지생갈비만 보면 더 고퀄의 느낌인데 가격이 저렴해 더 만족스럽게 느껴짐.전체적으로 흔한 삼겹살이나 목살과 다른 흔치 않은 메뉴인 돼지생갈비를 내놓는 신상가게여서 들렀다 좋았어서 재방문했는데 여전히 좋아 기회가 되면 또 들를 것 같은 방문이었음.
        ",2020-12-19
